row,offer_text,assigned_itemcode,assigned_itemname,label_provenance,final_verdict,replacement_itemcode,replacement_itemname,justification,verdict_source,adjudicator_verdict,adjudicator_note,n_superior_skus_found,skus_compared,label_defects,runtime_rule_defects,protein_inconsistency,pack_inconsistency,category_unreachable,multi_entity_offer
10,Alkabeer Chicken Pop-Corn 400g,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 81.2 vs 69.4 (+11.8); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer 'Chicken Pop-Corn 400g' matches CKPC 'CHICKEN POP-CORN' 400 Gms x 12 Pkts on product identity and size (name=81, pack=compatible), while assigned CCF CHICKEN FRIES is a different product at name=69 with pack=unknown. POP-CORN is not FRIES regardless of the shared Item-Cat-4 family label.",1,237,,,False,False,False,False
11,Al Kabeer Chicken 'n' Cheese Rings 300gm,CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/4 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 88.7 vs 37.7 (+51.0); protein=1 family=1 pack=compatible; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Assigned CFS FISH FINGERS 300 is a fish product against a chicken-and-cheese-rings offer: prot=0, Seafood cat2 against runtime_category=Chicken, cat_ok=0 (unreachable at inference) and name only 37.7 (rank 145/237). CKCCR 'CHICKEN 'N' CHEESE RINGS 300' is the literal product at name=89, 300 gms compatible, prot=1, cat_ok=1.",139,237,protein_contradiction,category_gate_unreachable,True,False,True,False
12,Al Kabeer Stuffed Falafel 750gm ,CVSF,STUFFED FELAFEL,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (93.3, margin +28.4); no attribute conflict; pack compatible.",deterministic,VERIFIED_CORRECT,"CVSF STUFFED FELAFEL 750 g. x 8 is rank 1/237 on name (93.3) and rule (51.3) with pack=compatible against the offer's 750gm, matching the 'stuffed' variant and weight exactly. All alternatives are either plain felafel at a different size (CVF 360g, CVFA/CVFAG 1kg bulk, all pack=INCOMPATIBLE) or unrelated products below name 50.",0,237,,,False,False,False,False
13,Al Kabeer Chicken Cheese Rings 300gm ,CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/4 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 87.8 vs 38.9 (+48.9); protein=1 family=1 pack=compatible; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer is Chicken Cheese Rings 300gm; assigned CFS FISH FINGERS 300 conflicts on protein (prot=0), is Seafood against runtime_category=Chicken and has cat_ok=0, so the deployed pipeline could never produce it, and its name score is 38.9 (rank 145/237). CKCCR CHICKEN 'N' CHEESE RINGS 300 matches identity and the 300 gms pack at name=88 with prot=1 and cat_ok=1; the RINGS contenders beat the STICKS/NUGGETS variants because product identity is rings.",136,237,protein_contradiction,category_gate_unreachable,True,False,True,False
14,"AL KABEER CHICKEN N' CHEESE RINGS, 300 GRAMS",CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/3 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 81.7 vs 42.8 (+38.8); protein=1 family=1 pack=unknown; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Assigned CFS FISH FINGERS 300 is fish against a CHICKEN N' CHEESE RINGS offer, with prot=0, cat_ok=0 and a weak name of 42.8 (rank 126/237). CKCCR 'CHICKEN 'N' CHEESE RINGS 300' is the exact product at name=82 (rank 1 among contenders), spec 300 gms matching '300 GRAMS', prot=1 and cat_ok=1; CKCCN nuggets and the CKCCS sticks family are the wrong product form.",128,237,protein_contradiction,category_gate_unreachable,True,False,True,False
15,Al Kabeer Zing Non Spicy Chicken Nuggets 750gm,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['750gm']; name rank 8/237 (75.7).",deterministic,VERIFIED_CORRECT,"CKZNNS matches the offer on sub-brand (Zing, cat2=Chicken-ZNG), product (nuggets), variant (Non Spicy) and size (8 X 750 GMS, pack=compatible with 750gm). The higher-name contenders each break one rule: CKN is plain 270g (INCOMPATIBLE), CKZSCKNP and CKZFACKNP are distinct '+ FREE' promo packs, CKNHSD is HOT n SPICY, CKNTMP is Tempura and not Zing.",0,237,,,False,False,False,False
16,Al Kabeer Paneer Cube 200Gm,VPAN,PANEER CUBES,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (97.1, margin +9.4); no attribute conflict; pack compatible.",deterministic,VERIFIED_CORRECT,"VPAN 'PANEER CUBES' 200 gm x 20 Pkts is rank 1/237 on name (97.1) with pack=compatible against the offer's stated 200Gm, and the only same-product alternative VPAN500 is 500 gm with pack=INCOMPATIBLE. All other contenders (beef/mutton cubes, potato bites) are below name 57 and are different proteins or categories.",0,237,,,False,False,False,False
17,Al Kabeer Stuffed Felafel 750gm,CVSF,STUFFED FELAFEL,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (100.0, margin +12.1); no attribute conflict; pack compatible.",deterministic,VERIFIED_CORRECT,"Exact match: CVSF STUFFED FELAFEL, spec 750 g. x 8, name=100.0 and rule=69.5 both rank 1/237, pack=compatible with the offer's 750gm. Runner-up CVF plain FELAFEL (88) lacks the 'stuffed' variant and is 360 Gms with pack=INCOMPATIBLE.",0,237,,,False,False,False,False
18,Al Kabeer Chicken Fries 400gm,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (100.0, margin +5.4); no attribute conflict; pack unknown.",deterministic,VERIFIED_CORRECT,"CCF 'CHICKEN FRIES' spec 12 PKTS X 400 GRM is an exact name match (100.0, rank 1/237) to 'Chicken Fries 400gm' on both product identity and the 400g retail pack. The only close contender CCFA is the same product in the 1 kg BULK pack (pack=INCOMPATIBLE), which the stated 400gm excludes, and CKPC POP-CORN is a different product at name=69.",0,237,,,False,False,False,False
19,Al Kabeer Chicken popcorn 400 grams ,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 86.3 vs 68.3 (+18.0); protein=1 family=1 pack=unknown; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer is Chicken popcorn 400 grams; CKPC 'CHICKEN POP-CORN' at 400 Gms x 12 Pkts scores name=86 (above the 85 decisive threshold) with prot=1 and cat_ok=1, while assigned CCF CHICKEN FRIES is a different product at name=68. The fam=0 on the popcorn contenders is the documented POP-CORN/popcorn phrase-list artifact and is not evidence against them.",2,237,,,False,False,False,False
20,Al Kabeer Paneer Cubes 200Gm,VPAN,PANEER CUBES,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (100.0, margin +4.8); no attribute conflict; pack compatible.",deterministic,VERIFIED_CORRECT,"VPAN 'PANEER CUBES' is rank 1/237 on both name (100.0) and rule, spec 200 gm x 20 Pkts matches the declared 200Gm exactly (pack=compatible, prot/fam/var all 1, cat_ok=1). The only rival of the same identity, VPAN500, is the 500 g pack and is pack=INCOMPATIBLE with the stated 200 g.",0,237,,,False,False,False,False
21,Al Kabeer Chicken Popcorn 400gm,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 95.6 vs 70.2 (+25.5); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer is 'Chicken Popcorn 400gm'; CKPC 'CHICKEN POP-CORN' 400 Gms x 12 Pkts scores name=96 (rank 1) with pack=compatible and identical 400 g size, while the assigned CCF is CHICKEN FRIES (name=70, pack=unknown) - a different product per the explicit rule that POP-CORN is not FRIES. fam=0 here is the known 'pop corn' vs 'popcorn' phrase-list artifact, not evidence against CKPC.",1,237,,,False,False,False,False
22,AL KABEER PANEER CUBES 200G,VPAN,PANEER CUBES,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (100.0, margin +4.8); no attribute conflict; pack compatible.",deterministic,VERIFIED_CORRECT,"Identical case to row 20: VPAN 'PANEER CUBES' 200 gm x 20 Pkts is rank 1/237 on name (100.0) and rule (68.5), pack=compatible with the declared 200G, all flags 1. VPAN500 (same product, 500 g) is size-incompatible with the stated 200 g.",0,237,,,False,False,False,False
23,AL KABEER ZING CHICKEN NUGGETS NON SPICY 750GM,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['750gm']; name rank 4/237 (83.0).",deterministic,VERIFIED_CORRECT,"CKZNNS satisfies every discriminator in the offer 'ZING CHICKEN NUGGETS NON SPICY 750GM': ZING sub-brand (Chicken-ZNG), NUGGETS family, NON-SPICY variant and 8 x 750 GMS (pack=compatible). Higher name-score rivals fail a business rule - CKN/CKNTMP/CKNHSD are non-ZING (plain, tempura, hot & spicy) and CKZN is the 270 g regular pack (pack=INCOMPATIBLE).",0,237,,,False,False,False,False
24,Al Kabeer Chickon Pop-Com 1000gm,CCFA,CHICKEN FRIES BULK,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['1000gm', 'com', 'pop']; name rank 38/237 (48.6).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer 'Chickon Pop-Com 1000gm' (OCR of Chicken Pop-Corn 1000 g) has no 1 kg pop-corn SKU in the master: the only pop-corn items are CKPC 400 g (name=71, pack=INCOMPATIBLE) and CKPCDA 750 g (name=69, pack=INCOMPATIBLE), both below the >=85 identity threshold and both size-conflicting. Assigned CCFA is the 1 kg bulk item inside the same POP-CORN & CHICKEN FRIES family with pack=compatible, so it is defensible but identity-wise it is FRIES, not POP-CORN - genuinely unresolvable.",0,237,,,False,False,False,False
25,Al Kabeer Chicken Pop-Corn 1000g,CCFA,CHICKEN FRIES BULK,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['1000g', 'popcorn']; name rank 13/237 (61.0).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Same unresolvable case as row 24 for 'Chicken Pop-Corn 1000g': CKPC (name=81, 400 g) and CKPCDA (name=72, 750 g) are both pack=INCOMPATIBLE with the declared 1000 g and neither reaches the >=85 flip threshold, while assigned CCFA 'CHICKEN FRIES BULK' 1 kg x 5 Pkts is the only pack-compatible member of the POP-CORN & CHICKEN FRIES family. Right size / wrong identity vs right identity / wrong size - no SKU satisfies both.",0,237,,,False,False,False,False
26,ALKABEER ZING CHICKEN NUGGETS NON SPICY 750GM,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['750gm']; name rank 4/237 (83.0).",deterministic,VERIFIED_CORRECT,"Duplicate of row 23 with the same slate: CKZNNS matches ZING sub-brand, NUGGETS, NON-SPICY and 750 g (8 x 750 GMS, pack=compatible, all flags 1). Every higher-name contender breaks a hard business rule (non-ZING line, tempura/hot-spicy variant, or 270 g size INCOMPATIBLE).",0,237,,,False,False,False,False
27,Al Kabeer Popcorn Chicken 400Gm,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 85.7 vs 68.1 (+17.6); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer 'Popcorn Chicken 400Gm' matches CKPC 'CHICKEN POP-CORN' 400 Gms x 12 Pkts at name=86 (>=85, rank 1) with pack=compatible and exact 400 g agreement; assigned CCF is CHICKEN FRIES (name=68, pack=unknown), a different product identity. fam=0 on both is the documented pop-corn phrase-list artifact.",1,237,,,False,False,False,False
28,AL KABEER CHCIKEN POPCORN 400 Gm,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 89.1 vs 60.3 (+28.8); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer 'CHCIKEN POPCORN 400 Gm' matches CKPC 'CHICKEN POP-CORN' 400 Gms x 12 Pkts at name=89 (rank 1, pack=compatible, size identical), whereas assigned CCF CHICKEN FRIES scores name=60 with pack=unknown and is a distinct product (POP-CORN is not FRIES).",1,237,,,False,False,False,False
29,Alkabeer chicken cheese rings 300gm,CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/4 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 87.8 vs 38.9 (+48.9); protein=1 family=1 pack=compatible; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Assigned CFS 'FISH FINGERS 300' has prot=0 (chicken offer vs fish SKU) and cat_ok=0, so the deployed candidate generator could never surface this pair; name is only 38.9 (rank 145/237). CKCCR 'CHICKEN 'N' CHEESE RINGS 300' is the literal product at name=88, prot=1, cat_ok=1, pack=compatible with the declared 300 gm.",136,237,protein_contradiction,category_gate_unreachable,True,False,True,False
30,Al Kabeer Chicken Pop-Corn (400g),CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 81.2 vs 69.4 (+11.8); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer 'Chicken Pop-Corn (400g)' matches CKPC 'CHICKEN POP-CORN' 400 Gms x 12 Pkts on identity and size with name=81 (rank 1) and pack=compatible; assigned CCF is CHICKEN FRIES (name=69, pack=unknown). The sub-85 name score is only hyphen tokenisation - product name and declared weight agree token-for-token.",1,237,,,False,False,False,False
31,AL KABEER BREADED SHRIMP 250g,CSB,BREADED SHRIMPS 250,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['250g']; name rank 1/237 (89.9).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"CSB 'BREADED SHRIMPS 250' is rank 1/237 on both name (89.9) and rule, with BREADED coating, shrimp protein and 250 Gms matching the declared 250 g (pack=compatible, cat_ok=1). prot=0 fires on every one of the 12 contenders including the shrimp SKUs, so it is a systematic feature artifact rather than a real chicken/fish conflict, and no prot=1 alternative exists to replace it.",0,237,,,False,False,False,False
32,AL KABEER PANEER CUBES 500G,VPAN500,PANEER CUBES 500,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['500g']; name rank 2/237 (95.2).",deterministic,VERIFIED_CORRECT,"Offer declares 500G, and VPAN500 'PANEER CUBES 500' is 500 gm x 10 Pkts with pack=compatible, name=95.2, rule rank 1/237. VPAN scores name=100 only because it is the same product line, but its 200 gm spec is pack=INCOMPATIBLE with the stated 500 g, so size resolves the tie in favour of the assigned SKU.",0,237,,,False,False,False,False
33,AL KABEER CHICKEN 'N' CHEESE RINGS 300G,CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/4 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 88.7 vs 37.7 (+51.0); protein=1 family=1 pack=compatible; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Assigned CFS 'FISH FINGERS 300' is prot=0 (chicken offer, fish SKU) and cat_ok=0 - unreachable by the production candidate generator - and ranks only 145/237 on name (37.7). CKCCR 'CHICKEN 'N' CHEESE RINGS 300' is a near-verbatim match to the offer text at name=89, prot=1, cat_ok=1, pack=compatible with 300G.",139,237,protein_contradiction,category_gate_unreachable,True,False,True,False
